Locations,Count,Country,State,State ID,County,County Fips,lat,lng,AI Exposure - State,AI Exposure - County,Population - City,Density - City
Warsaw,1,Poland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Linz,1,Austria,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Kitchener,1,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Gydnia,1,Poland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Baton Rouge,1,United States,Louisiana,LA,East Baton Rouge,22033,30.442,-91.1311,0.5143613,0.8161277,635671,1001.4
Albany,1,United States,New York,NY,Albany,36001,42.6664,-73.7987,1.495785,1.776388,590694,1798.3
Milan,1,Italy,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Frankfurt,1,Germany,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Coimbra,1,Portugal,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Jersey City,1,United States,New Jersey,NJ,Hudson,34017,40.7184,-74.0686,1.116536,1.154533,287899,7537.2
Kiel,1,Germany,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Providence,1,United States,Rhode Island,RI,Providence,44007,41.823,-71.4187,1.003802,1.247682,1290271,3979.7
Oxford,1,United Kingdom,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Indore,1,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Patna,1,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Bismarck,1,United States,North Dakota,ND,Burleigh,38015,46.8143,-100.7694,0.5213218,0.2684921,99433,820.3
Beau Vallon,1,Seychelles,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Utrecht,1,Netherlands,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Burlington,1,United States,North Carolina,NC,Alamance,37001,36.076,-79.4685,0.737784,-0.6217759,147415,726.6
Gothenburg,1,Sweden,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Dover,1,United States,Delaware,DE,Kent,26081,39.161,-75.5202,0.9453681,0.3915974,130186,634.2
Malmö,1,Sweden,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Eindhoven,1,Netherlands,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Athens,1,Greece,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Hyderabad,1,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Nebraska City,1,United States,Nebraska,NE,Otoe,31131,40.6762,-95.8613,0.8860975,-0.7501058,7257,563.4
Trondheim,1,Norway,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Düsseldorf,1,Germany,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Brussels,1,Belgium,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
The Hague,1,Netherlands,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Budapest,1,Hungary,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Winnipeg,1,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Bangkok,1,Thailand,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Richmond,1,United States,Virginia,VA,Richmond,51760,37.5295,-77.4756,1.254353,1.484804,1073223,1463.7
